isolation_source,count
feces,5833
blood,4506
sputum,3713
stool,2663
missing,2318
patient,1758
hypoxic seawater,1665
urine,1601
soil,1279
permafrost active layer soil,1095
hypersaline soda lake sediment,997
groundwater,986
stool sample,984
acid mine drainage sediment,887
infant feces,644
freshwater,618
root nodule,591
rumen,469
rectal swab,438
Unknown,437
Aspo HRL,435
feces extracted directly from colon,429
wound,386
saliva,380
aquifer sediment,375
activated sludge from Hong Kong Shatin wastewater treatment plant,347
Microcystis colony from freshwater lake,323
fecal material,313
water,302
sputum or oropharyngeal,298
gastric biopsy,285
sponge tissue,284
clinical sample,283
cerebrospinal fluid,273
skin,266
temperate grassland biome,266
Mouse faeces,265
homo,258
deep-sea hydrothermal deposit,257
maternal feces,253
anaerobic bioreactor effluent,250
Olkiluoto,246
not collected,236
hospital,224
Mariana trench surficial sediment,212
Rectal swab,208
marine water,201
fecal sample,200
Biopsy,196
aquatic biome,194
bodily fluid,185
sediment,180
food,176
meadow soil,176
seawater,175
lung,174
milk,171
marine sediment,171
nasal swab,168
Rifle well FP-101 under high O2 conditions; 0.2 micron filter; full assembly,162
Anaerobic digesters,159
deep marine sediment from hydrothermal vent,157
Rifle well FP-101 under high O2 conditions; 0.1 micron filter; full assembly,154
Rifle well FP-101 under low O2 conditions; 0.1 micron filter; full assembly,152
activated sludge,151
not applicable,148
broiler chicken gastrointestinal tract,145
Beach sand,144
anaerobic digester sludge from wastewater treatment plant,144
Fankou acid mine drainage sediment Core B,142
single cell amplified by WGA-X; seawater,139
Rifle well FP-101 under low O2 conditions; 0.2 micron filter; full assembly,139
feces day 0 after weanning,138
wastewater sludge anaerobic digester phosphite (DPO) enrichment,137
"Brackish water, Black Sea St. 307",136
Mine wastewater,132
Blood culture,130
throat swab,129
pork,128
tissue,128
environmental,128
subsurface aquifer,128
ocean water sample from Hawaii Ocean Time-series (HOT) cruises,127
pus,125
clinical,124
nasopharynx,124
liver,123
non-axenic culture inoculated from ocean water sample,120
Fankou acid mine drainage sediment Core A,116
unknown,116
biofilm from sulfidic cave,115
fecal samples from 20 animals,114
Full-scale anaerobic digester operated by the Champaign-Urbana Sanitary District treating a mixture of municipal and industrial waste activated sludge and municipal sewage,113
Rifle well FP-101 under low O2 conditions; 1.2 micron filter; full assembly,112
Rifle well FP-101 under high O2 conditions; 1.2 micron filter; full assembly,111
river cyanobacterial mat,108
freshwater surface (50 cm depth),106
feces day 7 after weanning,104
feces day 14 after weanning,104
tracheal secretion,103
sediments,103
Endotracheal Aspirate,102
clinical material,101
blood culture,100
Gastric tissue biopsy,99
tracheal aspirate,98
surface seawater,97
bronchoalveolar lavage,95
Missing,93
Guaymas Basin Hydrothermal plume metagenome,91
wound swab,90
Partial nitritation anammox bioreactor,90
hot spring sediment,89
stomach,89
surface water,88
Cystic Fibrosis airway culture,87
Sputamentum,87
Pork,87
chicken,86
clinic,86
river sediment,86
meat,82
river sediments grown in denitrifying medium in anaerobic bioreactor system,82
ACE-degrading consortia seeded with activated sludge sampled from 6 local waste water treatment plants (WWTPs),79
10 sea water samples from phytoplankton spring bloom collected during Heincke cruise HE327,79
freshwater lake,78
Poultry,78
gill tissue; hydrothermal vent,78
Gastric tissue,78
Clinical patient,76
Pus,76
raw seawater,75
marine hydrothermal sediment,75
lake water,74
