gtdb_species_clade_id,GTDB_species,no_genomes,no_core,no_aux_genome,no_singleton_gene_clusters,no_gene_clusters,singleton_fraction,core_fraction,aux_fraction,mean_intra_species_ANI,min_intra_species_ANI
s__Bacillus_A_anthracis--RS_GCF_000742895.1,s__Bacillus_A_anthracis,455,4530,45003,24380.0,49533,0.4921971211111784,0.09145418206044455,0.9085458179395555,99.22,95.34
s__Phocaeicola_vulgatus--RS_GCF_000012825.1,s__Phocaeicola_vulgatus,449,2635,71920,39652.0,74555,0.531848970558648,0.035343035343035345,0.9646569646569647,98.85,95.43
s__Cronobacter_sakazakii--RS_GCF_000982825.1,s__Cronobacter_sakazakii,449,3468,38955,22032.0,42423,0.5193409235556185,0.08174810833745845,0.9182518916625415,98.01,97.39
s__Streptococcus_equi--GB_GCA_900637675.1,s__Streptococcus_equi,472,1830,15913,10576.0,17743,0.5960660542185651,0.10313926618948317,0.8968607338105168,99.18,95.16
s__Corynebacterium_diphtheriae--RS_GCF_001457455.1,s__Corynebacterium_diphtheriae,389,1788,13444,5749.0,15232,0.3774290966386555,0.1173844537815126,0.8826155462184874,98.11,95.03
s__Serratia_marcescens_K--RS_GCF_002220655.1,s__Serratia_marcescens_K,425,4110,31431,19987.0,35541,0.5623645930052615,0.11564109057145269,0.8843589094285473,98.79,98.1
s__Staphylococcus_pseudintermedius--RS_GCF_001792775.2,s__Staphylococcus_pseudintermedius,426,2040,24203,16256.0,26243,0.6194413748428153,0.07773501505163281,0.9222649849483672,99.31,98.36
s__Bacteroides_uniformis--GB_GCA_025147485.1,s__Bacteroides_uniformis,401,2427,74048,41774.0,76475,0.54624387054593,0.03173586139261197,0.968264138607388,98.35,95.37
s__Cutibacterium_acnes--RS_GCF_003030305.1,s__Cutibacterium_acnes,361,1860,12321,7886.0,14181,0.5560961850363162,0.13116141315845145,0.8688385868415486,99.04,96.6
s__Xanthomonas_oryzae--RS_GCF_004136375.1,s__Xanthomonas_oryzae,396,3355,27021,11359.0,30376,0.3739465367395312,0.11044903871477482,0.8895509612852252,99.16,96.34
s__Klebsiella_michiganensis--RS_GCF_002925905.1,s__Klebsiella_michiganensis,399,4597,57138,30368.0,61735,0.4919089657406657,0.07446343241273183,0.9255365675872682,98.57,97.38
s__Helicobacter_pylori_BU--RS_GCF_900120335.1,s__Helicobacter_pylori_BU,370,1192,20961,11306.0,22153,0.5103597706856859,0.053807610707353404,0.9461923892926466,96.41,95.28
s__Sarcina_perfringens--RS_GCF_000013285.1,s__Sarcina_perfringens,403,2325,31313,15301.0,33638,0.45487246566383255,0.06911825911171889,0.9308817408882811,98.03,95.74
s__Burkholderia_multivorans--RS_GCF_000959525.1,s__Burkholderia_multivorans,404,4609,48640,27101.0,53249,0.5089485248549268,0.08655561606790738,0.9134443839320926,97.72,96.87
s__Klebsiella_aerogenes--RS_GCF_000215745.1,s__Klebsiella_aerogenes,395,4152,56952,38642.0,61104,0.6323972244042944,0.06794972505891594,0.9320502749410841,98.39,95.78
s__Lactobacillus_crispatus--RS_GCF_018987235.1,s__Lactobacillus_crispatus,328,1310,24739,13155.0,26049,0.505009789243349,0.05028983838151176,0.9497101616184882,97.61,95.9
s__Enterococcus_B_lactis--RS_GCF_015751045.1,s__Enterococcus_B_lactis,371,1973,25333,14120.0,27306,0.5171024683219805,0.07225518201127958,0.9277448179887204,98.27,97.66
s__Leptospira_interrogans--RS_GCF_900156205.1,s__Leptospira_interrogans,363,3099,27868,16095.0,30967,0.5197468272677366,0.10007427261278135,0.8999257273872187,99.32,97.4
s__Acinetobacter_pittii--RS_GCF_000369045.1,s__Acinetobacter_pittii,360,2938,36532,20343.0,39470,0.5154041043830757,0.07443628071953383,0.9255637192804662,97.32,95.49
s__Pasteurella_multocida--RS_GCF_900187275.1,s__Pasteurella_multocida,349,1813,13180,6955.0,14993,0.463883145467885,0.12092309744547455,0.8790769025545254,98.83,96.53
s__Pseudomonas_E_avellanae--RS_GCF_000444135.1,s__Pseudomonas_E_avellanae,319,4006,59148,31471.0,63154,0.4983215631630617,0.06343224498844095,0.9365677550115591,96.76,95.07
s__Enterobacter_roggenkampii--RS_GCF_001729805.1,s__Enterobacter_roggenkampii,327,3745,45945,24037.0,49690,0.483739182934192,0.07536727711813242,0.9246327228818676,98.24,95.5
s__Burkholderia_cenocepacia--RS_GCF_900446215.1,s__Burkholderia_cenocepacia,338,5984,37430,18211.0,43414,0.41947298106601555,0.13783572119592757,0.8621642788040724,99.05,98.68
s__Xanthomonas_euvesicatoria--RS_GCF_020880415.1,s__Xanthomonas_euvesicatoria,332,3598,37948,22205.0,41546,0.5344678188032542,0.08660280171376306,0.9133971982862369,98.85,96.77
s__Bacteroides_thetaiotaomicron--RS_GCF_000011065.1,s__Bacteroides_thetaiotaomicron,287,3225,62409,34472.0,65634,0.5252155894810616,0.04913611847518055,0.9508638815248195,98.44,95.2
s__Helicobacter_pylori_CI--RS_GCF_000448485.1,s__Helicobacter_pylori_CI,310,1158,19595,10681.0,20753,0.5146725774586807,0.05579916156700236,0.9442008384329976,95.6,95.24
s__Bacteroides_fragilis--RS_GCF_000025985.1,s__Bacteroides_fragilis,310,3144,44881,24066.0,48025,0.5011140031233733,0.06546590317542947,0.9345340968245706,99.03,97.09
s__Mammaliicoccus_sciuri--RS_GCF_002901825.1,s__Mammaliicoccus_sciuri,307,2146,23318,12926.0,25464,0.5076185988061577,0.08427584040213634,0.9157241595978637,96.67,95.47
s__Parabacteroides_distasonis--RS_GCF_000012845.1,s__Parabacteroides_distasonis,287,2696,52312,29659.0,55008,0.5391761198371146,0.049011052937754505,0.9509889470622455,98.19,96.17
s__Clostridium_F_botulinum--RS_GCF_001276985.1,s__Clostridium_F_botulinum,265,2812,24380,10715.0,27192,0.3940497205060312,0.10341276846131216,0.8965872315386878,97.89,95.97
s__Bacillus_A_cereus--RS_GCF_000007825.1,s__Bacillus_A_cereus,249,4344,55132,31165.0,59476,0.5239928710740467,0.07303786401237473,0.9269621359876252,98.57,97.59
s__Lacticaseibacillus_paracasei--RS_GCF_000829035.1,s__Lacticaseibacillus_paracasei,271,2056,26617,15041.0,28673,0.5245701531057092,0.07170508841069996,0.9282949115893,98.29,97.86
s__Stenotrophomonas_maltophilia--RS_GCF_900186865.1,s__Stenotrophomonas_maltophilia,303,3572,42410,28092.0,45982,0.6109347135835762,0.07768257144099865,0.9223174285590013,97.98,97.31
s__Burkholderia_ubonensis--RS_GCF_902833085.1,s__Burkholderia_ubonensis,305,5046,50824,23250.0,55870,0.4161446214426347,0.09031680687309826,0.9096831931269017,96.7,96.07
s__Lactococcus_lactis--RS_GCF_900099625.1,s__Lactococcus_lactis,291,1702,33101,17205.0,34803,0.494353935005603,0.04890383012958653,0.9510961698704135,98.31,95.53
s__Vibrio_alginolyticus--RS_GCF_000354175.2,s__Vibrio_alginolyticus,290,4008,39671,23715.0,43679,0.5429382540809085,0.09176034249868358,0.9082396575013164,98.53,98.29
s__Micrococcus_luteus--RS_GCF_000023205.1,s__Micrococcus_luteus,295,1713,21956,11945.0,23669,0.5046685538045544,0.07237314630951878,0.9276268536904813,97.01,95.98
s__Bacillus_A_paranthracis--RS_GCF_001883995.1,s__Bacillus_A_paranthracis,137,3903,33424,18014.0,37327,0.4825997267393576,0.10456238111822541,0.8954376188817745,97.45,95.7
s__Bacillus_A_toyonensis--RS_GCF_000496285.1,s__Bacillus_A_toyonensis,274,4598,43780,23421.0,48378,0.48412501550291454,0.09504320145520691,0.904956798544793,99.12,96.74
s__Vibrio_vulnificus--RS_GCF_002224265.1,s__Vibrio_vulnificus,272,3565,48848,29453.0,52413,0.5619407398927747,0.06801747658023773,0.9319825234197623,97.02,95.22
s__Bacillus_A_thuringiensis--RS_GCF_002119445.1,s__Bacillus_A_thuringiensis,270,4413,53685,25968.0,58098,0.4469689145925849,0.07595786429825467,0.9240421357017453,98.14,96.82
s__Xanthomonas_cissicola--RS_GCF_008801575.1,s__Xanthomonas_cissicola,256,3347,30712,13034.0,34059,0.3826888634428492,0.09827064799318828,0.9017293520068117,97.73,95.83
s__Mycobacterium_avium--RS_GCF_009741445.1,s__Mycobacterium_avium,249,3983,43010,24423.0,46993,0.5197157023386462,0.08475730427936076,0.9152426957206392,98.78,98.27
s__Burkholderia_gladioli--RS_GCF_000959725.1,s__Burkholderia_gladioli,271,5532,42435,21543.0,47967,0.44912127087372566,0.1153292888861092,0.8846707111138908,98.34,97.07
s__Acinetobacter_nosocomialis--RS_GCF_000368085.1,s__Acinetobacter_nosocomialis,246,2938,33472,20078.0,36410,0.5514419115627575,0.0806921175501236,0.9193078824498764,97.93,97.5
s__Streptococcus_mutans--RS_GCF_006739205.1,s__Streptococcus_mutans,261,1547,6928,3064.0,8475,0.3615339233038348,0.18253687315634218,0.8174631268436579,99.12,98.73
s__Lacticaseibacillus_rhamnosus--RS_GCF_900636965.1,s__Lacticaseibacillus_rhamnosus,241,2120,17096,10533.0,19216,0.5481369691923397,0.1103247293921732,0.8896752706078268,98.41,96.73
s__Pseudomonas_E_amygdali--RS_GCF_002699855.1,s__Pseudomonas_E_amygdali,239,4000,54575,25328.0,58575,0.4324029022620572,0.06828851899274435,0.9317114810072556,98.06,95.01
s__Flavobacterium_psychrophilum--RS_GCF_002217405.1,s__Flavobacterium_psychrophilum,250,2042,9032,4656.0,11074,0.42044428390825356,0.184395882246704,0.815604117753296,99.21,98.91
s__Agathobacter_rectalis--GB_GCA_000020605.1,s__Agathobacter_rectalis,228,1601,46917,28098.0,48518,0.5791252730945217,0.03299806257471454,0.9670019374252855,97.37,96.06
s__Enterobacter_kobei--RS_GCF_001729765.1,s__Enterobacter_kobei,252,3829,38033,21166.0,41862,0.5056136830538436,0.09146720175815776,0.9085327982418423,98.84,98.45
s__Akkermansia_muciniphila--RS_GCF_000020225.1,s__Akkermansia_muciniphila,247,1829,18006,10972.0,19835,0.5531635996975044,0.09221073859339551,0.9077892614066045,98.03,97.12
s__Lactobacillus_delbrueckii--RS_GCF_001433875.1,s__Lactobacillus_delbrueckii,240,1167,17007,7533.0,18174,0.4144932320897986,0.06421261142291185,0.9357873885770881,97.63,96.59
s__Sinorhizobium_meliloti--RS_GCF_017876815.1,s__Sinorhizobium_meliloti,241,4954,53245,26599.0,58199,0.4570353442499012,0.0851217374868984,0.9148782625131016,98.93,97.42
s__Agrobacterium_tumefaciens--RS_GCF_001541315.1,s__Agrobacterium_tumefaciens,250,4119,26075,12895.0,30194,0.42707160362986024,0.1364178313572233,0.8635821686427767,97.87,95.73
