gtdb_species_clade_id,n_genomes_total,n_genomes_with_env,n_distinct_env_broad,n_distinct_env_local,n_distinct_env_medium,env_coverage_fraction,env_broad_entropy,GTDB_species
s__Streptococcus_equi--GB_GCA_900637675.1,472,3,0,0,1,0.006355932203389831,-1.4428232973175175e-12,s__Streptococcus_equi
s__Streptococcus_anginosus--RS_GCF_900636475.1,87,38,5,4,3,0.4367816091954023,1.196306319476534,s__Streptococcus_anginosus
s__Streptococcus_pyogenes--RS_GCF_002055535.1,2082,21,3,3,4,0.010086455331412104,0.9881808369989051,s__Streptococcus_pyogenes
s__Listeria_seeligeri--RS_GCF_000027145.1,168,0,0,0,0,0.0,0.0,s__Listeria_seeligeri
s__Porphyromonas_gingivalis--RS_GCF_000010505.1,84,20,5,4,4,0.23809523809523808,1.9585429818716469,s__Porphyromonas_gingivalis
s__Klebsiella_quasipneumoniae--RS_GCF_020525925.1,801,98,8,7,6,0.12234706616729088,1.0631060150549236,s__Klebsiella_quasipneumoniae
s__Vibrio_vulnificus--RS_GCF_002224265.1,272,38,3,4,2,0.13970588235294118,0.9067346483479599,s__Vibrio_vulnificus
s__Staphylococcus_capitis--RS_GCF_002902325.1,175,48,9,8,8,0.2742857142857143,2.7673125589375416,s__Staphylococcus_capitis
s__Bacillus_velezensis--RS_GCF_001461825.1,647,125,39,39,24,0.19319938176197837,3.6155186378917037,s__Bacillus_velezensis
s__Listeria_innocua--RS_GCF_024721565.1,108,1,1,1,0,0.009259259259259259,-1.4428232973175175e-12,s__Listeria_innocua
s__Campylobacter_D_jejuni--RS_GCF_001457695.1,2313,43,8,7,2,0.018590575010808474,2.2169624291077183,s__Campylobacter_D_jejuni
s__Bacillus_A_anthracis--RS_GCF_000742895.1,455,64,8,11,9,0.14065934065934066,1.7624001920196957,s__Bacillus_A_anthracis
s__Priestia_megaterium--RS_GCF_000832985.1,177,32,16,11,8,0.1807909604519774,3.3771350281625976,s__Priestia_megaterium
s__Bifidobacterium_pseudocatenulatum--RS_GCF_001025215.1,170,100,8,6,4,0.5882352941176471,2.084092131753552,s__Bifidobacterium_pseudocatenulatum
s__Burkholderia_ubonensis--RS_GCF_902833085.1,305,0,0,0,0,0.0,0.0,s__Burkholderia_ubonensis
s__Enterococcus_B_lactis--RS_GCF_015751045.1,371,56,18,9,10,0.1509433962264151,3.2169714399236717,s__Enterococcus_B_lactis
s__Limosilactobacillus_reuteri--RS_GCF_000016825.1,230,138,14,9,5,0.6,2.381377485425564,s__Limosilactobacillus_reuteri
s__Serratia_ureilytica--RS_GCF_013375155.1,155,8,5,2,4,0.05161290322580645,2.4056390622209105,s__Serratia_ureilytica
s__Enterobacter_cloacae--RS_GCF_000025565.1,216,19,8,7,4,0.08796296296296297,2.86032077782006,s__Enterobacter_cloacae
s__Yersinia_enterocolitica--RS_GCF_901472495.1,236,4,2,2,1,0.01694915254237288,1.499999999995672,s__Yersinia_enterocolitica
s__Stutzerimonas_stutzeri--RS_GCF_000219605.1,149,24,13,7,7,0.1610738255033557,3.4885252948775505,s__Stutzerimonas_stutzeri
