gtdb_species_clade_id,GTDB_species,n_genomes_in_tree,cv_branch_dist,std_branch_dist,mean_branch_dist,max_branch_dist,median_branch_dist,max_median_ratio,no_genomes,no_core,no_aux_genome,no_singleton_gene_clusters,no_gene_clusters,singleton_fraction,core_fraction,aux_fraction,mean_intra_species_ANI,n_genomes_with_env,n_distinct_env_broad,env_broad_entropy,env_coverage_fraction,in_prior_ecotype_analysis,z_phylo,z_env,z_open,composite_score,rank,short_name
s__Prochlorococcus_A_sp000635495--GB_GCA_000635495.1,s__Prochlorococcus_A_sp000635495,73,5.844859667891938,0.9714437152511474,0.1662047971121807,6.008599,0.004181,1437.1200669696243,74,1510,19576,14576.0,21086,0.6912643460115716,0.0716114957791899,0.92838850422081,98.29,71,2,0.5228488800027915,0.9594594594594594,True,5.0,-0.9701667683304299,2.4440892576705044,2.157974163113358,1,Prochlorococcus A sp000635495
s__Akkermansia_sp004167605--RS_GCF_004167605.1,s__Akkermansia_sp004167605,72,2.7319839855250545,0.0014718761239884,0.0005387572298325,0.007192,9.6e-05,74.91666666666666,73,2532,5056,4179.0,7588,0.5507380073800738,0.3336847654190827,0.6663152345809172,99.95,70,4,0.323169077501042,0.958904109589041,True,4.802229935299646,-1.1798730399091863,0.8283311704778421,1.4835626886227675,2,Akkermansia sp004167605
s__Bifidobacterium_animalis--RS_GCF_000260715.1,s__Bifidobacterium_animalis,114,1.5325114336076682,0.0129056612673385,0.0084212495804729,0.032593,4.2e-05,776.0238095238095,115,1543,5349,3937.0,6892,0.5712420197330238,0.2238827626233314,0.7761172373766686,96.25,51,9,2.4509249049115027,0.4434782608695652,False,2.1478250045396847,1.0547232277444256,1.064084297626858,1.422210843303656,3,Bifidobacterium animalis
s__Erwinia_amylovora--RS_GCF_017161565.1,s__Erwinia_amylovora,230,2.061939041695532,0.0036184475752475,0.0017548761151891,0.011805,0.000112,105.40178571428572,231,3256,11106,7923.0,14362,0.5516641136331987,0.2267093719537669,0.7732906280462332,99.83,12,2,1.4833557549773595,0.0519480519480519,False,3.319436019016379,0.03856978415546652,0.8389794495311381,1.398995084234328,4,Erwinia amylovora
s__Staphylococcus_epidermidis--RS_GCF_006742205.1,s__Staphylococcus_epidermidis,1314,0.9425509659376587,0.009269164903362,0.0098341259394297,0.033697,0.004556,7.396180860403862,1315,1936,51736,33443.0,53672,0.6230995677448203,0.03607094947086,0.96392905052914,99.0,265,14,2.906232922829725,0.2015209125475285,False,0.8422561761130177,1.5328935066673899,1.6603373089698958,1.3451623305834346,5,Staphylococcus epidermidis
s__Francisella_tularensis--RS_GCF_000008985.1,s__Francisella_tularensis,851,1.852731994136794,0.0043483648470746,0.0023470015419583,0.018407,0.000332,55.44277108433735,852,1834,11273,7223.0,13107,0.5510795757991913,0.1399252307927062,0.8600747692072939,99.29,5,2,1.5219280948830345,0.0058685446009389,False,2.856465676175307,0.07907894675650982,0.8322584907289298,1.2559343712202489,6,Francisella tularensis
s__Staphylococcus_warneri--RS_GCF_900636385.1,s__Staphylococcus_warneri,111,1.3287630071295926,0.0081119523708217,0.0061048902831402,0.023896,0.001961,12.185619581845996,112,2076,9542,6163.0,11618,0.5304699604062661,0.1786882423825099,0.8213117576174901,99.05,29,10,2.660899725792013,0.2589285714285714,True,1.6969344635152517,1.27524145873518,0.5952911501624599,1.189155690804297,7,Staphylococcus warneri
s__Listeria_monocytogenes_B--RS_GCF_000307025.1,s__Listeria_monocytogenes_B,1922,1.2521246503850527,0.0052388219097161,0.0041839459898062,0.031678,0.003505,9.037945791726106,1923,2580,25475,15097.0,28055,0.538121546961326,0.0919622170736054,0.9080377829263946,99.47,17,6,2.4692407821621853,0.0088403536141445,False,1.5273355579772625,1.0739587952921306,0.6832683434529813,1.0948542322407915,8,Listeria monocytogenes B
s__Klebsiella_aerogenes--RS_GCF_000215745.1,s__Klebsiella_aerogenes,394,0.6706754319723328,0.008361011027962,0.0124665533123433,0.033285,0.009338,3.5644677661169415,395,4152,56952,38642.0,61104,0.6323972244042944,0.0679497250589159,0.932050274941084,98.39,25,8,2.5617062775613295,0.0632911392405063,True,0.24060192670401287,1.1710672361404098,1.7672408552074452,1.059636672683956,9,Klebsiella aerogenes
s__Lactobacillus_johnsonii--RS_GCF_000159355.1,s__Lactobacillus_johnsonii,86,0.4020605350141527,0.0077359413221343,0.0192407377706495,0.035114,0.020208,1.7376286619160728,87,1220,16616,11470.0,17836,0.6430814083875308,0.0684009867683337,0.9315990132316664,97.01,36,13,2.969777110456908,0.4137931034482758,False,-0.35383660865188515,1.599628421770688,1.8900865569035346,1.0452927900074458,10,Lactobacillus johnsonii
