orgId	locusId	sysName	geneName	desc	setATCH203 LB	setATCH204 LB	setATCH206 LB	setATCH207 LB	setATCH208 PDB	setATCH209 PDB	setATCH210 PDB	setATCH211 PDB	setATCH212 PDB	setATCH213 PDB	setATCH214 M9+glycerol	setATCH215 M9+glycerol	setATCH216 M9+glycerol	setATCH217 M9+glycerol	setATCH218 M9+glycerol	setATCH219 M9+glycerol	setATCH220 Atlantic	setATCH221 Atlantic	setATCH222 Atlantic	setATCH223 Atlantic	setATCH224 Atlantic	setATCH225 Atlantic	setATCH226 Norland	setATCH227 Norland	setATCH228 Norland	setATCH229 Norland	setATCH230 Norland	setATCH231 Norland	setATCH233 Upstate	setATCH234 Upstate	setATCH235 Upstate	setATCH236 Upstate	setATCH237 Upstate
Ddia6719	HGI48_RS00395	HGI48_RS00395		VfmB protein	-0.277	-1.096	-0.054	0.374	1.802	4.163	3.363	4.897	2.392	3.688	-1.084	1.241	1.014	-1.923	0.645	0.682	1.807	-1.408	-0.251	0.892	-2.792	0.476	1.012	-1.577	-0.747	-1.209	-0.183	-0.228	0.098	-1.239	-0.286	-0.282	-1.032
Ddia6719	HGI48_RS00405	HGI48_RS00405		alpha/beta hydrolase	0.998	0.362	0.719	0.148	-1.936	-1.801	-0.264	-0.057	-1.450	-0.493	0.471	0.398	-0.322	0.314	0.242	-0.416	-0.133	0.412	-0.494	-0.286	1.270	0.127	-0.641	0.150	1.551	1.614	0.051	0.426	0.781	1.720	0.384	0.168	0.439
Ddia6719	HGI48_RS00410	HGI48_RS00410		AraC family transcriptional regulator VfmE	0.758	0.070	0.836	-0.351	9.213	10.220	9.001	8.435	10.094	10.827	0.501	0.892	2.304	0.832	1.889	-0.042	1.893	2.365	3.070	0.245	2.179	2.664	2.187	2.546	4.926	3.162	1.442	2.021	1.146	1.829	1.595	1.157	2.986
Ddia6719	HGI48_RS00415	HGI48_RS00415		ABC transporter ATP-binding protein	0.075	2.046	-1.329	1.272	9.173	9.160	7.156	9.828	7.129	9.420	-0.401	0.749	2.648	0.920	-0.687	1.067	1.004	3.143	2.879	2.079	2.620	2.447	2.315	2.427	1.900	2.972	1.229	3.491	1.825	1.503	3.623	2.291	3.993
Ddia6719	HGI48_RS00420	HGI48_RS00420		ABC transporter permease	-3.888	-4.971	-3.352	-4.106	6.266	7.060	5.483	6.408	6.790	6.567	3.563	3.214	3.388	1.066	1.912	0.283	0.466	-0.886	-3.064	-3.091	-1.664	0.536	-1.624	-1.180	-1.202	0.698	-0.095	-1.686	-0.747	-1.697	1.083	-1.725	-1.597
Ddia6719	HGI48_RS00425	HGI48_RS00425		two-component system response regulator VfmH	0.056	1.652	1.141	1.540	8.708	10.477	8.788	10.179	9.138	12.034	1.900	0.244	3.641	1.363	1.007	1.773	2.992	2.260	3.747	3.765	3.087	3.569	1.911	2.193	4.880	4.145	2.678	2.018	1.357	1.398	1.351	3.578	3.384
Ddia6719	HGI48_RS00430	HGI48_RS00430		two-component system sensor histidine kinase VfmI	1.216	0.961	0.891	0.845	9.934	12.912	9.135	11.709	11.586	11.248	0.973	1.201	3.821	0.994	1.832	2.550	1.075	2.423	2.878	1.389	2.756	3.682	3.678	2.146	3.636	3.023	3.999	2.279	2.960	3.143	2.673	2.252	2.640
Ddia6719	HGI48_RS00435	HGI48_RS00435		4'-phosphopantetheinyl transferase superfamily protein	-1.721	-0.415	-0.484	-0.597	0.427	0.403	-0.779	-1.375	0.464	-1.018	-0.241	-1.730	-0.269	0.590	-2.438	-0.625	-0.632	1.962	-0.620	-0.526	-0.007	-2.093	1.294	0.554	-2.341	0.466	-0.297	-0.143	-0.829	-1.438	-0.363	-0.644	-0.123
Ddia6719	HGI48_RS00440	HGI48_RS00440		DUF2807 domain-containing protein	0.215	0.491	-1.138	0.340	1.071	-0.077	0.448	-0.322	0.222	-0.895	-0.899	-0.923	-0.962	0.321	0.230	-1.359	-0.630	1.057	1.616	1.324	-1.277	-0.820	-1.249	-0.992	0.357	0.778	-1.113	1.092	0.092	0.579	0.409	0.421	-1.727
Ddia6719	HGI48_RS00445	HGI48_RS00445		3-oxoacyl-ACP synthase	-0.706	0.618	-1.376	0.559	0.305	0.278	-0.271	-0.117	-0.095	-1.151	-0.907	-0.444	-0.560	-0.153	1.339	0.111	0.668	-1.000	0.544	-1.406	-0.805	-0.407	0.213	-2.010	0.765	-0.873	0.004	0.162	-0.189	-1.887	1.098	-0.652	0.288
Ddia6719	HGI48_RS00450	HGI48_RS00450		hypothetical protein	0.554	-0.856	0.993	-0.004	1.334	-0.376	1.478	0.100	1.333	0.271	-1.547	1.220	-0.508	-2.474	-0.966	-1.313	0.918	1.151	1.885	1.810	-0.923	-0.076	0.281	0.581	-0.381	1.131	-0.456	-0.022	0.530	-0.808	0.435	-0.515	0.522
