strain_id	taxon_name	taxon_order	genome_id	genome_name	size	genes	contigs
EB106-03-03-XG65	Environmental isolate EB106-03-03-XG65 Unconfirmed Organism.	Micrococcales	1265	EB106-03-03-XG65.1	3673967	3528	2
EB106-05-01-XG146	Ensifer adhaerens EB106-05-01-XG146	Hyphomicrobiales	3704	EB106-05-01-XG146.3	7409761	7072	3
EB106-05-01-XG201	Environmental isolate EB106-05-01-XG201	Enterobacterales	3705	EB106-05-01-XG201.3	4972118	4581	3
EB106-07-01-XG149	Environmental isolate EB106-07-01-XG149	Bacillales	3356	EB106-07-01-XG149.1	5464167	5643	30
EB271-G4-3-1	Environmental isolate EB271-G4-3-1	Burkholderiales	3798	EB271-G4-3-1.1	6150600	5476	39
FW104-10B01	Rhodanobacter denitrificans	Xanthomonadales	101	FW104-10B01.ncbi.1	3959115	3628	1
FW104-10F02	Rhodanobacter denitrificans	Xanthomonadales	102	FW104-10F02.ncbi.1	3959114	3626	1
FW104-R3	Rhodanobacter denitrificans	Xanthomonadales	109	FW104-R3.ncbi.1	5145157	7275	4419
FW215-L2	Pseudomonas sp. FW215-L2	Pseudomonadales	4137	PseudoFW215-L2	7314884	6691	320
FW300-N1B4	Pseudomonas sp. FW300-N1B4	Pseudomonadales	196	FW300-N1B4.ncbi.1	6630486	6128	6
FW300-N2A2	Pseudomonas sp. FW300-N2A2	Pseudomonadales	198	FW300-N2A2.ncbi.1	6422247	5873	82
FW300-N2E2	Pseudomonas sp. FW300-N2E2	Pseudomonadales	204	FW300-N2E2.2	6916500	7303	1
FW300-N2E3	Pseudomonas sp. FW300-N2E3	Pseudomonadales	205	FW300-N2E3.ncbi.1	6386303	5956	7
FW300-N2F2	Pseudomonas sp. FW300-N2F2	Pseudomonadales	207	FW300-N2F2.ncbi.1	7096068	6140	19
FW301-JW63	Environmental isolate FW301-JW63 Unconfirmed Organism.	Enterobacterales	1971	FW301-JW63.1	4905761	4583	15
FW305-113	Pseudomonas sp. FW305-113	Pseudomonadales	233	FW305-113.ncbi.1	5642541	5118	111
FW305-3	Pseudomonas sp. FW305-3	Pseudomonadales	279	FW305-3.2	6991736	6258	1
FW305-3-2-15-A-LB2	Pseudomonas sp. GW456-A2	Pseudomonadales	283	FW305-3-2-15-A-LB2.ncbi.1	6598417	5993	107
FW305-3-2-15-F-LB2	Pseudomonas sp. FW305-3-2-15-F-LB2	Micrococcales	317	FW305-3-2-15-F-LB2.1	3775289	3682	112
FW305-36	Environmental isolate FW305-36	Unknown	3834	FW305-36.3	6636128	6027	67
FW305-C-10-2	Environmental isolate FW305-C-10-2	Unknown	3836	FW305-C-10-2.1	4301706	4151	62
FW305-C-101	Environmental isolate FW305-C-101 Unconfirmed Organism: Environmental isolate FW305-C-101.	Hyphomicrobiales	388	FW305-C-101.1	5643712	5450	30
FW305-C-134A	Environmental isolate FW305-C-134A	Hyphomicrobiales	392	FW305-C-134A.1	8081408	7414	67
FW305-C-30-S16	Environmental isolate FW305-C-30-S16 Unconfirmed Organism.	Caulobacterales	1295	FW305-C-30-S16.1	3499716	3455	12
FW305-C-49	Environmental isolate FW305-C-49	Chitinophagales	3235	FW305-C-49.1	3586371	3156	7
FW306-02-B	Environmental isolate FW306-02-B	Burkholderiales	3236	FW306-02-B.1	8154996	7453	72
FW306-1C-G01B	Environmental isolate FW306-1C-G01B Unconfirmed Organism.	Burkholderiales	1278	FW306-1C-G01B.1	7718061	6867	45
FW507-14D01	Environmental isolate FW507-14D01	Bacillales	3846	FW507-14D01.3	5196512	5371	39
FW507-14TSA	Environmental isolate FW507-14TSA	Pseudomonadales	472	FW507-14TSA.ncbi.2	6881809	6357	53
FW507-4G11	Cupriavidus basilensis	Burkholderiales	3848	FW507-4G11.3	8421443	7701	2
FW510-R12	Rhodanobacter thiooxydans FW510-R12	Xanthomonadales	481	FW510-R12.1	4204225	3844	4
GW101-11A03	Environmental isolate GW101-11A03	Burkholderiales	526	GW101-11A03.1	5383492	4922	156
GW101-11D10	Environmental isolate GW101-11D10	Burkholderiales	527	GW101-11D10.1	5546518	5059	451
GW101-20D03	Environmental isolate GW101-20D03	Burkholderiales	529	GW101-20D03.1	5375203	4883	300
GW101-3H06	Environmental isolate GW101-3H06	Pseudomonadales	534	GW101-3H06.kbase.1	6702868	6198	2
GW101-3H11	Acidovorax sp. GW101-3H11	Burkholderiales	2	acidovorax_3H11	5442520	5005	39
GW247-26LB	Environmental isolate GW247-26LB	Burkholderiales	538	GW247-26LB.1	3068147	2984	31
GW247-4R2A	Environmental isolate GW247-4R2A	Burkholderiales	541	GW247-4R2A.1	4298300	4073	64
GW456-11-11-14-LB4	Environmental isolate GW456-11-11-14-LB4	Flavobacteriales	546	GW456-11-11-14-LB4.2	5243832	4318	1
GW456-11-11-14-TSB2	Pseudomonas sp. FW507-14D01	Pseudomonadales	548	GW456-11-11-14-TSB2.ncbi.1	7093041	6672	278
GW456-12-10-14-LB3	Environmental isolate GW456-12-10-14-LB3	Caulobacterales	552	GW456-12-10-14-LB3.1	3200324	3112	86
GW456-12-10-14-TSB1	Environmental isolate GW456-12-10-14-TSB1	Sphingomonadales	554	GW456-12-10-14-TSB1.ncbi.1	5078579	4899	6
GW456-L13	Pseudomonas fluorescens	Pseudomonadales	3191	GW456-L13.1	5757432	5405	2
GW456-L15	Environmental isolate GW456-L15	Pseudomonadales	578	GW456-L15.ncbi.1	6972007	6309	29
GW456-R20	Environmental isolate GW456-R20	Burkholderiales	580	GW456-R20.2	6658838	7174	2
