analysis_id,description,key_statistic,interpretation,source_file,manuscript_location
P1_primary,Primary PGLS: metal-gene density vs cross-biome niche breadth (Levins' B),"β=−0.021, SE=0.002, p=2.1×10⁻⁸, λ=0.750, n=1574",Metal-gene density significantly predicts narrower niche breadth; genome size attenuates 46.7%,data/01_primary_pgls_results.csv,Main
P1_archaea,Archaea replication: metal-gene density vs Levins' B,"β=−0.018, p=0.031, n=247",Consistent direction in Archaea,data/01_primary_pgls_results.csv,SI
P1_soil,Soil-restricted PGLS (ENIGMA taxa with geochemical data),"β=−0.026, p=0.008, n=312",Stronger signal in soil-specialist taxa,data/02_ngsa_pgls_input.csv,SI
P2_tier1,Tier 1 (constitutive metal-dep enzymes) vs Levins' B,"β=−0.034, p<10⁻⁵, n=1574",Constitutive metal-dep genes drive signal,data/03_tier_pgls_results.csv,Main
P2_tier2,Tier 2 (cofactor biosynthesis) vs Levins' B,"β=−0.034, p<10⁻⁵, n=1574",Cofactor biosynthesis equally strong as Tier 1,data/03_tier_pgls_results.csv,Main
P3_resistance,Resistance/detox category vs Levins' B,"β=+0.007, p=0.655, n=1574",Resistance genes not associated with niche breadth,data/03_category_pgls_results.csv,Main
P3_cofactor,Metal cofactor category (curated 9 KOs) vs Levins' B,"β=−0.006, p=0.142 (full-set; p<10⁻⁵ conditioned)",Cofactor negative; full-set null due to coverage,data/03_category_pgls_results.csv,Main
P3_split,Split-magnitude permutation: Δβ (resistance−cofactor),"Δβ=0.035, permutation p<0.001",Resistance-cofactor polarity is non-random,data/split_magnitude_permutation.csv,Main
L1_landscape,KEGG functional landscape: 19 categories vs Levins' B,14/19 categories significant (p<0.05); translation β=−0.029 most negative,Metal-gene signal sits within pervasive genome-streamlining landscape,data/functional_landscape_results.csv,Main
M1_resistance_levinsB,Resistance genes vs Levins' B (multi-axis analysis),"β=+0.007, p=0.655, λ=0.71, n=1574",Resistance null on cross-biome breadth,data/multiaxis_pgls_results.csv,Main
M2_resistance_envPC1,Resistance genes vs env PC1 geochemical breadth,"β=+0.073, p=0.013, λ=0.42, n=1562",Resistance expands geochemical tolerance,data/multiaxis_pgls_results.csv,Main
M3_resistance_soilB,Resistance genes vs soil niche breadth,"β=+0.004, p=0.290, λ=0.49, n=1543",Resistance null on soil scale,data/multiaxis_pgls_results.csv,SI
M4_resistance_degree,Resistance genes vs co-occurrence degree,"β=+4.10, p<10⁻⁶, λ=0.50, n=1547",Resistance highly positive on co-occurrence,data/cooccurrence_functional_pgls_results.csv,Main
M5_cofactor_levinsB,Expanded KEGG cofactor (47 KOs) vs Levins' B,"β=−0.011, p=0.010, λ=0.71, n=1574",Cofactor significantly negative; cobalamin is driver,data/expanded_kegg_metal_cofactor_densities.csv,Main
M6_cofactor_envPC1,Expanded KEGG cofactor vs env PC1,"β=+0.014, p=0.660, n=1562",Cofactor null on geochemical axis,data/expanded_kegg_metal_cofactor_densities.csv,SI
M7_cofactor_soilB,Expanded KEGG cofactor vs soil niche breadth,"β=−0.003, p=0.040, n=1543",Cofactor negative on soil breadth,data/expanded_kegg_metal_cofactor_densities.csv,Main
M8_cofactor_degree,Expanded KEGG cofactor vs co-occurrence degree,"β=+7.87, p=5.6×10⁻⁹, n=1547",Cofactor-rich genera are co-occurrence hubs,data/cooccurrence_functional_pgls_results.csv,Main
M9_nonmetal_levinsB,Non-metal cofactor/vitamin vs Levins' B,"β=−0.029, p=2.4×10⁻¹¹, n=1574",Non-metal cofactor strongly negative — strongest signal,data/multiaxis_pgls_results.csv,Main
E1_cobalamin,Cobalamin biosynthesis (18 KOs) vs Levins' B,"β=−0.011, p=0.005, n=1574",Cobalamin is the driver of expanded cofactor Levins' B signal,data/expanded_kegg_metal_cofactor_densities.csv,Main
