claim_id	claim_text	source_notebook	source_cell	figure_or_table	effect_size_present	ci_present	pvalue_present	notes
C-001	Spearman rho = 0.315, p = 2.08e-03 for 4584-vs-4580 vs Leaden 2018 delta-fur logFC over 93 Leaden delta-fur DEGs	01_leaden2018_fur_signature.ipynb	5	Figure NB01_fur_signature_scatter.png	yes	no	yes	Effect size is rho; p-value from spearmanr
C-002	71% sign concordance between 4584-vs-4580 and Leaden delta-fur DEGs	01_leaden2018_fur_signature.ipynb	5		no	no	no	Proportion; no formal test reported
C-003	53 of 93 Leaden delta-fur DEGs are buffered in our data (logFC ~0 in 4584-vs-4580 despite -5 to -9 in Leaden)	01_leaden2018_fur_signature.ipynb	5		no	no	no	Count; buffered set dominated by cbb3/cyd/fix-NOPQ
C-004	93 Leaden delta-fur DEGs used as reference set	01_leaden2018_fur_signature.ipynb	5		no	no	no	Count from Leaden 2018 Table 2
C-005	HutA at +10.5 in our 4584-vs-4580 vs +2.2 in Leaden delta-fur	01_leaden2018_fur_signature.ipynb	4	Figure NB01_fur_signature_scatter.png	yes	no	no	Individual gene logFC values; extreme top-right point
C-006	198 experiments in Caulobacter RB-TnSeq fitness compendium (orgId=Caulo)	02_caulo_fitness_ranking.ipynb	5		no	no	no	Total experiment count from kescience_fitnessbrowser
C-007	0 iron-limitation experiments in Caulobacter fitness compendium	02_caulo_fitness_ranking.ipynb	5		no	no	no	H2 iron-axis preflight FAIL; descoped
C-008	22 envelope-stress experiments in the compendium	02_caulo_fitness_ranking.ipynb	5		no	no	no	Subset used for H2 envelope-axis test
C-009	95 stress experiments (envelope-, drug-, metal-related stresses)	02_caulo_fitness_ranking.ipynb	5		no	no	no	Broad stress category count
C-010	46 nitrogen-source experiments	02_caulo_fitness_ranking.ipynb	5		no	no	no	Experiment classification
C-011	42 carbon-source experiments	02_caulo_fitness_ranking.ipynb	5		no	no	no	Experiment classification
C-012	10 PYE control experiments	02_caulo_fitness_ranking.ipynb	5		no	no	no	Experiment classification
C-013	5 other experiments	02_caulo_fitness_ranking.ipynb	5		no	no	no	Experiment classification remainder
C-014	Genome background phenotype-bearing rate 33.25% (n=3943 Caulobacter genes; K=1311 phenotype-bearing; threshold |t|>4 in >=2 envelope-stress experiments)	02b_h2_hypergeometric_verdict.ipynb	1		no	no	no	Background rate for hypergeometric enrichment
C-015	Path A (concordant_strong): n=32, 17 phenotype-bearing, 53.1%, fold=1.60x, hypergeometric p=0.016	02b_h2_hypergeometric_verdict.ipynb	1	Table (Finding 2)	yes	no	yes	Marginally enriched; fold enrichment is effect size
C-016	Path B (SspB-buffered): n=26, 9 phenotype-bearing, 34.6%, fold=1.04x, hypergeometric p=0.515	02b_h2_hypergeometric_verdict.ipynb	1	Table (Finding 2)	yes	no	yes	Indistinguishable from background
C-017	ChvT (CCNA_03108) |t| = 43.7 under envelope stress	02_caulo_fitness_ranking.ipynb	9		yes	no	no	Top fitness hit in Path A; t-statistic is effect size proxy
C-018	Fur-derepressed TBDTs (CCNA_02910, 00210, 02048, 00028) |t| 9-28 under envelope stress	02_caulo_fitness_ranking.ipynb	9		yes	no	no	Range of fitness t-statistics for TBDT subset
C-019	488 ChvI-induced genes in the tested universe (union of Stein 2021 + Quintero-Yanes 2022)	03_chvi_phase_partition_sigU.ipynb	3		no	no	no	Reference set size for H1 partition test
C-020	unique-to-early ChvI cohort: 20 genes induced in 4584-vs-4580 but NOT 4599-vs-4584	03_chvi_phase_partition_sigU.ipynb	4		no	no	no	Phase partition count; H1 threshold >=10 per cohort
C-021	both-phases ChvI cohort: 10 genes induced in both contrasts	03_chvi_phase_partition_sigU.ipynb	4		no	no	no	Cooperative continuation subset
C-022	late-consequence ChvI cohort: 49 genes induced only in 4599-vs-4584	03_chvi_phase_partition_sigU.ipynb	4		no	no	no	Phase partition count
C-023	Total ChvI-engaged genes: 79 (20 + 10 + 49 disjoint partition)	03_chvi_phase_partition_sigU.ipynb	4		no	no	no	Sum of disjoint partition
C-024	Lasso peptide cyclase CCNA_02794 logFC +8.6 in early cohort	03_chvi_phase_partition_sigU.ipynb	5		yes	no	no	Individual gene logFC; unique-to-early
C-025	ApbE iron-sulfur cluster repair protein logFC +3.8 in early cohort	03_chvi_phase_partition_sigU.ipynb	5		yes	no	no	Individual gene logFC; unique-to-early
C-026	imuB SOS DNA polymerase logFC +1.5 in early cohort	03_chvi_phase_partition_sigU.ipynb	5		yes	no	no	Individual gene logFC; unique-to-early
C-027	ChvI (CCNA_00237) logFC +1.45 in 4584-vs-4580; sits in the both-phases set	03_chvi_phase_partition_sigU.ipynb	5		yes	no	no	Autoregulation evidence; both-phases
C-028	SIMPL family CCNA_02378 logFC +1.9 (4584-vs-4580) -> +3.9 (4599-vs-4584)	03_chvi_phase_partition_sigU.ipynb	5		yes	no	no	Both-phases gene; increasing induction
